Senseur,Date,Temps,Distance
S1_1,9/24/2016,51:20.0,9.699104293
S1_1,9/24/2016,51:30.0,12.23624628
S1_1,9/24/2016,51:40.0,15.38633295
S1_1,9/24/2016,51:50.0,11.70078117
S1_1,9/24/2016,52:00.0,19.37313434
S1_1,9/24/2016,52:10.0,5.242719718
S1_1,9/24/2016,52:20.0,9.806070029
S1_1,9/24/2016,52:30.0,5.617096525
S1_1,9/24/2016,52:40.0,18.16502895
S1_1,9/24/2016,52:50.0,21.11210221
S1_1,9/24/2016,53:00.0,20.59768923
S1_1,9/24/2016,53:10.0,8.409597491
S1_1,9/24/2016,53:20.0,21.33715342
S1_1,9/24/2016,53:30.0,8.747027401
S1_1,9/24/2016,53:40.0,20.71464686
S1_1,9/24/2016,53:50.0,16.10470588
S1_1,9/24/2016,54:00.0,18.25738701
S1_1,9/24/2016,54:10.0,11.71318212
S1_1,9/24/2016,54:20.0,19.34782604
S1_1,9/24/2016,54:30.0,8.840956324
S1_1,9/24/2016,54:40.0,17.43679331
S1_1,9/24/2016,54:50.0,13.17504537
S1_1,9/24/2016,55:00.0,20.26466926
S1_1,9/24/2016,55:10.0,20.70801552
S1_1,9/24/2016,55:20.0,16.63367004
S1_1,9/24/2016,55:30.0,10.9528247
S1_1,9/24/2016,55:40.0,13.42683794
S1_1,9/24/2016,55:50.0,5.459253112
S1_1,9/24/2016,56:00.0,20.49695846
S1_1,9/24/2016,56:10.0,11.78242225
S1_1,9/24/2016,56:20.0,8.896672332
S1_1,9/24/2016,56:30.0,22.50588624
S1_1,9/24/2016,56:40.0,12.02412638
S1_1,9/24/2016,56:50.0,18.25114383
S1_1,9/24/2016,57:00.0,22.56635024
S1_1,9/24/2016,57:10.0,16.22965725
S1_1,9/24/2016,57:20.0,12.48520465
S1_1,9/24/2016,57:30.0,11.95482027
S1_1,9/24/2016,57:40.0,18.08422023
S1_1,9/24/2016,57:50.0,22.15122182
S1_1,9/24/2016,58:00.0,15.46943478
S1_1,9/24/2016,58:10.0,18.62653597
S1_1,9/24/2016,58:20.0,9.076548731
S1_1,9/24/2016,58:30.0,14.55720842
S1_1,9/24/2016,58:40.0,9.620680139
S1_1,9/24/2016,58:50.0,15.17404617
S1_1,9/24/2016,59:00.0,6.770373393
S1_1,9/24/2016,59:10.0,5.620650529
S1_1,9/24/2016,59:20.0,9.332109524
S1_1,9/24/2016,59:30.0,20.22331017
S1_1,9/24/2016,59:40.0,15.72365188
S1_1,9/24/2016,59:50.0,12.25457769
S1_1,9/24/2016,00:00.0,22.15351229
